enro_animal_id,redcap_data_access_group,enro_sex,enro_model,txas_reperfusion,txas_reperfusion_actual,corner_bl_conduct,corner_bl_conduct_rsn,corner_d7_conduct,corner_d7_conduct_rsn,behav_d30_conduct,behav_d30_conduct_rsn,corner_d30_conduct,corner_d30_conduct_rsn,crt_bl_right_s9,crt_bl_left_s9,crt_d7_right_s9,crt_d7_left_s9,crt_d30_right_s9,crt_d30_left_s9,postop_d1_nds_score,postop_d2_nds_score,eos_nds_score,neuro_d30_conduct,neuro_d30_conduct_rsn,neuro_d30_spont,neuro_d30_circling,neuro_d30_symmetry,neuro_d30_outstretching,neuro_d30_trunk,neuro_d30_vibrissae,neuro_d30_face,neuro_d30_beam,neuro_d30_climb,srg_clot_length,rand_clot_length
BB0325,yl,0,5,1,1,1,,1,,1,,1,,8,2,9,1,10,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,4,4
BB0326,yl,0,5,2,2,1,,1,,1,,1,,5,4,3,0,10,0,2,1,0,1,,0,0,0,0,0,1,1,3,0,4,4
BB0327,yl,0,5,1,1,1,,0,1,0,1,,,6,4,,,,,,,,,,,,,,,,,,,4,4
BB0332,yl,1,5,1,1,1,,0,1,0,1,,,7,3,,,,,,,,,,,,,,,,,,,4,4
BB0333,yl,0,5,2,2,1,,1,,1,,1,,4,6,2,8,7,3,1,0,0,1,,0,0,0,0,0,1,0,3,0,4,4
BM4063,mg,1,5,1,1,1,,1,,1,,1,,3,7,1,9,7,3,2,1,0,1,,0,0,0,0,1,1,0,1,1,4,4
BM4064,mg,0,5,2,2,1,,0,1,0,1,,,6,4,,,,,,,,,,,,,,,,,,,4,4
BM4079,mg,0,5,1,1,1,,1,,1,,1,,5,5,2,8,7,1,1,1,0,1,,0,0,0,0,0,0,0,3,1,4,4
BW4831,sd,0,5,2,2,1,,0,1,0,1,,,3,7,,,,,,,,,,,,,,,,,,,,4
BW4832,sd,0,5,2,2,1,,1,,0,3,,,5,5,6,4,,,1,1,,,,,,,,,,,,,3,3
BW4847,sd,0,5,2,2,1,,1,,1,,1,,7,3,3,7,3,7,1,1,1,1,,1,0,0,0,1,1,1,0,0,3,3
BW4848,sd,0,5,2,2,1,,1,,1,,1,,7,3,9,1,3,7,3,2,2,1,,2,0,1,1,0,1,0,3,0,3,3
BW4849,sd,1,5,2,2,1,,1,,1,,1,,9,1,10,0,10,0,3,2,3,1,,2,1,1,0,0,0,0,3,1,3,4
