enro_animal_id,redcap_data_access_group,enro_model,enro_sex,rand_conduct,rand_conduct_rsn,rand_conduct_rsn_oth,rand_clot_length,txas_reperfusion,srg_conduct,srg_conduct_rsn,srg_conduct_rsn_oth,srg_comments___1,srg_comments___2,srg_comments___3,srg_comments___4,srg_comments___5,srg_comments___6,srg_comments___7,srg_comments___8,srg_comments___9,srg_exact_occ,srg_animal_age,srg_length_surgery,srg_awake_min,srg_concom_meds_lrs_nacl,srg_concom_meds_sq,eos_day_diff_srg_death,enro_weight,srg_weight,eos_weight,postop_d1_weight,postop_d2_weight,postop_d3_weight,postop_d4_weight,postop_d5_weight,postop_d6_weight,postop_d7_weight,postop_d8_weight,srg_nds_score,postop_d1_nds_score,postop_d2_nds_score,eos_nds_score,bank_tissue_type___1,bank_tissue_type___2,bank_tissue_type___3,bank_tissue_type___4,bank_tissue_type___6,bank_tissue_type___5,srg_clot_length,srg_embolic_draw_sex,srg_donor_eartag,behav_d30_conduct,rand_reperfusion_dose,srg_reperfsn_dose,srg_embolic_draw_dt,srg_actual_surg_dt,srg_reperfsn_vial,txas_reperfusion_actual,rand_reperfusion_vial,txas_pop_assg_comment
BB0325,yl,5,0,1,,,4,1,1,,,0,0,0,0,0,0,0,0,0,126,2.3,172,109,1,1,45,214,233,292,233,220,227,232,,,,,1,0,0,0,1,0,0,0,0,0,4,0,GF5977,1,0.214,0.214,2025-06-17,2025-06-24,"TNK D",1,"TNK D",
BB0326,yl,5,0,1,,,4,2,1,,,0,0,0,0,0,0,0,0,0,128,3.02,191,108,1,1,41,271,272,312,243,237,,,,,,,2,2,1,0,1,0,0,0,0,0,4,1,RV9579,1,0.27,0.27,2025-07-07,2025-07-23,"TNK G",2,"TNK G",
BB0327,yl,5,0,1,,,4,1,1,,,0,0,0,0,0,0,0,0,0,128,2.89,172,103,1,1,0,250,255,255,,,,,,,,,2,,,,0,0,0,0,0,0,4,0,GF5977,0,0.25,0.25,2025-06-17,2025-07-09,"TNK D",1,"TNK D",
BB0332,yl,5,1,1,,,4,1,1,,,0,0,0,0,0,0,0,0,0,120,2.56,179,103,1,1,0,378,424,424,,,,,,,,,1,,,,0,0,0,0,0,0,4,1,RV9579,0,0.38,0.38,2025-07-07,2025-07-16,"TNK H",1,"TNK H",
BB0333,yl,5,0,1,,,4,2,1,,,0,0,0,0,0,0,0,0,0,134,2.56,176,110,1,1,41,254,260,336,269,265,,,,,,,0,1,0,0,1,0,0,0,0,0,4,1,RV9579,1,0.25,0.25,2025-07-07,2025-07-16,"TNK G",2,"TNK G",
BM4063,mg,5,1,1,,,4,1,1,,,0,0,0,0,0,0,0,0,0,120,2.43,153,105,1,1,31,267,349,386,333,334,322,,,338,,339,2,2,1,0,1,0,0,0,0,0,4,1,BM4046,1,0.31,0.31,2025-06-23,2025-07-01,"TNK C",1,"TNK C",
BM4064,mg,5,0,1,,,4,2,1,,,0,0,0,0,0,0,1,0,0,,2.2,,,1,1,0,190,214,214,,,,,,,,,,,,,0,0,0,0,0,0,4,0,RF6266,0,0.19,,2025-06-23,2025-06-24,,2,"TNK G","received the clot"
BM4079,mg,5,0,1,,,4,1,1,,,0,0,0,0,0,0,0,0,0,121,2.46,144,107,1,1,30,182,223,254,217,216,220,,224,,224,,2,1,1,0,1,0,0,0,0,0,4,0,RF6266,1,0.22,0.22,2025-06-23,2025-07-02,"TNK H",1,"TNK H",
BW4831,sd,5,0,1,,,4,2,1,,,0,0,0,0,1,0,0,0,0,,2.43,23,,0,1,0,208.2,228.3,228.3,,,,,,,,,,,,,0,0,0,0,0,0,,0,LJ5491,0,0.21,,2025-07-08,2025-07-22,,2,"TNK G","no clot administered"
BW4832,sd,5,0,1,,,3,2,1,,,0,0,0,0,0,0,0,0,0,120,2.46,158,96,1,1,22,223.8,247,,222.8,232,,,243.1,237.2,258.2,250.6,1,1,1,,0,0,0,0,0,0,3,0,QQ3122,0,0.22,0.22,2025-08-04,2025-08-13,"TNK G",2,"TNK G","euthanized early by accident."
BW4847,sd,5,0,1,,,3,2,1,,,0,0,0,0,0,0,0,0,0,120,2.43,156,106,1,1,35,190.9,209.6,246,197.3,194.6,201.6,,,211.8,208.6,206.9,1,1,1,1,1,1,1,1,0,1,3,0,QQ3122,1,0.19,0.19,2025-08-04,2025-08-05,"TNK G",2,"TNK G",
BW4848,sd,5,0,1,,,3,2,1,,,0,0,0,0,0,0,0,0,0,120,2.43,159,95,1,1,37,205.4,228,274.5,210.2,200.3,192.3,,,236.7,243.6,241.0,2,3,2,2,1,1,1,1,0,1,3,0,"LJ 5491",1,0.21,0.2,2025-07-08,2025-07-29,"TNK G",2,"TNK G",
BW4849,sd,5,1,1,,,4,2,1,,,0,0,0,0,0,0,0,0,1,121,1.74,246,98,1,1,31,139.1,209.6,255.3,169.2,156.8,150.2,,,151.2,149.4,154.4,1,3,2,3,1,1,1,1,0,1,3,1,VV5900,1,0.14,0.14,2025-06-23,2025-07-22,"TNK G",2,"TNK G",
BW5451,iw,5,0,1,,,4,2,1,,,0,0,0,0,0,0,0,0,0,120,2.96,149,102,1,1,30,264,273,291,252,253,257,264,,268,,,2,2,2,1,1,0,0,0,0,0,4,0,HC8332,1,0.264,0.264,2025-06-23,2025-06-25,"TNK G",2,"TNK G",
BW5452,iw,5,1,1,,,4,2,1,,,0,0,0,0,0,0,0,0,0,120,2.89,152,113,1,1,31,297,337,463,320,322,321,325,337,340,345,,1,1,1,0,1,0,0,0,0,0,4,1,WS4353,1,0.3,0.3,2025-06-29,2025-06-30,"TNK G",2,"TNK G",
