enro_animal_id,redcap_data_access_group,enro_model,enro_species,mri_d2_conduct,p_mri_d2_ind,p_mri_d2_rsn___1,p_mri_d2_rsn___2,p_mri_d2_rsn___3,p_mri_d2_rsn___4,p_mri_d2_rsn___5,p_mri_d2_rsn___6,p_mri_d2_rsn___7,p_mri_d2_rsn___8,p_mri_d2_rsn___9,p_mri_d2_rsn_oth,p_mri_d2_adc_qa_snr,p_mri_d2_t2_qa_snr,p_mri_d2_mid_shift_indx,p_mri_d2_mid_shift_left,p_mri_d2_mid_shift_right,p_mri_d2_hem_left_tis,p_mri_d2_hem_right_tis,p_mri_d2_hem_left_csf,p_mri_d2_hem_right_csf,p_mri_d2_hem_right_les,p_mri_d2_hem_left_tot,p_mri_d2_hem_right_tot,p_mri_d2_vol_tis,p_mri_d2_vol_csf,p_mri_d2_vol_les,p_mri_d2_vol_tot,p_mri_d2_fract_csf,p_mri_d2_fract_csf_left,p_mri_d2_fract_csf_right,p_mri_d2_fract_tis,p_mri_d2_fract_tis_left,p_mri_d2_fract_tis_right,p_mri_d2_fract_les,p_mri_d2_fract_les_left,p_mri_d2_fract_les_right,p_mri_d2_comments,mri_d2_conduct_rsn,mri_d2_conduct_rsn_oth,mri_d2_upload_ida,mri_d2_upload_ida_rsn,mri_d2_anes_start_t,txas_reperfusion,txas_reperfusion_actual,enro_sex,rand_clot_length,srg_clot_length
BB0325,yl,5,1,1,1,0,0,0,0,0,0,0,0,0,,8.858596503,12.33354809,0.064213,6.89632,7.35384,680.8066406,692.015625,30.25976563,31.41796875,6.9765625,711.0664062,730.4101563,1372.822266,61.67773438,6.9765625,1441.477,0.04278787,0.042555471,0.043014146,0.9523718,0.957444529,0.947434286,0.00483987,0,0.009551568,,,,1,,11:35,1,1,0,4,4
BB0326,yl,5,1,1,1,0,0,0,0,0,0,0,0,0,,8.439935294,11.41879673,0.233126,6.34979,8.02541,653.09375,671.2324219,45.10546875,38.33203125,40.00976563,698.2089844,749.5742188,1324.326172,83.4375,40.02734375,1447.791,0.0576309,0.064601673,0.051138407,0.9147218,0.93538434,0.895484937,0.02764718,1.40E-05,0.053376657,,,,1,,10:30,2,2,0,4,4
BB0327,yl,5,1,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,0,4,4
BB0332,yl,5,1,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,1,4,4
BB0333,yl,5,1,1,1,0,0,0,0,0,0,0,0,0,,8.880058057,11.46539158,0.0362533,7.05723,7.3178,660.1269531,667.5429688,49.0546875,53.61132813,2.974609375,709.1816406,724.1289063,1327.669922,102.6660156,2.974609375,1433.311,0.07162856,0.069170837,0.074035614,0.9262958,0.930829163,0.921856541,0.002075341,0,0.004107845,,,,1,,09:50,2,2,0,4,4
BM4063,mg,5,1,1,1,0,0,0,0,0,0,0,0,0,,3.162592852,5.460847795,0.191917,6.38495,7.7404,664.8886719,641.8496094,16.14257813,12.07226563,53.3828125,681.0527344,707.3046875,1306.738281,28.21484375,53.45117188,1388.404,0.02032178,0.023702391,0.017067985,0.9411799,0.976266063,0.907458441,0.03849828,3.15E-05,0.075473574,,,,1,,09:55,1,1,1,4,4
BM4064,mg,5,1,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,2,0,4,4
BM4079,mg,5,1,1,1,0,0,0,0,0,0,0,0,0,,3.268020132,5.051219488," -0.0555368",7.06615,6.68432,650.5703125,650.1347656,30.27734375,18.1015625,11.8515625,681.3496094,680.0878906,1300.705078,48.37890625,12.38671875,1361.471,0.03553429,0.04443731,0.026616505,0.9553674,0.954825986,0.955956979,0.009098042,0.000736704,0.017426516,,,,1,,10:09,1,1,0,4,4
BW4831,sd,5,1,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,2,0,4,
BW4832,sd,5,1,1,1,0,0,0,0,0,0,0,0,0,,4.355206801,10.82605552,0.116572,6.7098,7.54038,682.4882813,696.0039063,25.25195313,24.8671875,12.4609375,707.7460938,733.3320313,1378.492188,50.11914063,12.46875,1441.08,0.03477887,0.035679396,0.033909861,0.9565687,0.964312325,0.949097921,0.008652365,8.28E-06,0.016992218,,,,1,,15:04,2,2,0,3,3
