enro_animal_id,redcap_data_access_group,enro_model,enro_species,mri_d2_conduct,p_mri_d2_ind,p_mri_d2_rsn___1,p_mri_d2_rsn___2,p_mri_d2_rsn___3,p_mri_d2_rsn___4,p_mri_d2_rsn___5,p_mri_d2_rsn___6,p_mri_d2_rsn___7,p_mri_d2_rsn___8,p_mri_d2_rsn___9,p_mri_d2_rsn_oth,p_mri_d2_adc_qa_snr,p_mri_d2_t2_qa_snr,p_mri_d2_mid_shift_indx,p_mri_d2_mid_shift_left,p_mri_d2_mid_shift_right,p_mri_d2_hem_left_tis,p_mri_d2_hem_right_tis,p_mri_d2_hem_left_csf,p_mri_d2_hem_right_csf,p_mri_d2_hem_right_les,p_mri_d2_hem_left_tot,p_mri_d2_hem_right_tot,p_mri_d2_vol_tis,p_mri_d2_vol_csf,p_mri_d2_vol_les,p_mri_d2_vol_tot,p_mri_d2_fract_csf,p_mri_d2_fract_csf_left,p_mri_d2_fract_csf_right,p_mri_d2_fract_tis,p_mri_d2_fract_tis_left,p_mri_d2_fract_tis_right,p_mri_d2_fract_les,p_mri_d2_fract_les_left,p_mri_d2_fract_les_right,p_mri_d2_comments,mri_d2_conduct_rsn,mri_d2_conduct_rsn_oth,mri_d2_upload_ida,mri_d2_upload_ida_rsn,mri_d2_anes_start_t,txas_reperfusion,txas_reperfusion_actual,enro_sex,rand_clot_length,srg_clot_length,p_mri_d2_hem_left_les
BB0325,yl,5,1,1,1,0,0,0,0,0,0,0,0,0,,8.858596503,12.33354809,0.0668309,6.88698,7.36315,680.8222656,692.0625,30.01757813,31.36914063,7.0078125,710.8398438,730.4394531,1372.884766,61.38671875,7.0078125,1441.28,0.04259181,0.042228328,0.042945573,0.9525457,0.957771672,0.94746046,0.004862214,0,0.009593968,,,,1,,11:35,1,1,0,4,4,0
BB0326,yl,5,1,1,1,0,0,0,0,0,0,0,0,0,,8.439935294,11.41879673,0.245094,6.30692,8.0686,651.2246094,672.5136719,44.7734375,38.015625,40.06054688,696.0078125,750.5898438,1323.738281,82.7890625,40.07421875,1446.601,0.05723006,0.064328929,0.050647668,0.9150678,0.93565704,0.895980245,0.02770233,1.40E-05,0.053372088,,,,1,,10:30,2,2,0,4,4,0.009765625
BB0327,yl,5,1,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,0,4,4,
BB0332,yl,5,1,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,1,4,4,
BB0333,yl,5,1,1,1,0,0,0,0,0,0,0,0,0,,8.880058057,11.46539158,0.0364017,7.0567,7.31834,660.6679688,667.4804688,48.6640625,53.72460938,2.96484375,709.3320313,724.1699219,1328.148438,102.3886719,2.96484375,1433.502,0.07142557,0.068605477,0.07418785,0.9265059,0.931394523,0.921718023,0.002068252,0,0.004094127,,,,1,,09:50,2,2,0,4,4,0
BM4063,mg,5,1,1,1,0,0,0,0,0,0,0,0,0,,3.162592852,5.460847795,0.192416,6.38315,7.74212,665.625,640.8457031,16.30664063,12.03710938,53.33203125,681.953125,706.2148438,1306.470703,28.34375,53.3984375,1388.213,0.02041744,0.023911674,0.017044543,0.9411171,0.976056822,0.907437317,0.0384656,3.15E-05,0.07551814,,,,1,,09:55,1,1,1,4,4,0.021484375
BM4064,mg,5,1,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,2,0,4,4,
BM4079,mg,5,1,1,1,0,0,0,0,0,0,0,0,0,,3.268020132,5.051219488," -0.0624111",7.08981,6.66072,651.3007813,649.4765625,30.24609375,18.02734375,11.79882813,681.9472656,679.3027344,1300.777344,48.2734375,12.234375,1361.284,0.0354617,0.044352541,0.026538011,0.9555515,0.955060331,0.956092961,0.008987383,0.000587128,0.017369028,,,,1,,10:09,1,1,0,4,4,0.400390625
BW4831,sd,5,1,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,2,0,4,,
BW4832,sd,5,1,1,1,0,0,0,0,0,0,0,0,0,,4.355206801,10.82605552,0.123534,6.68501,7.5652,682.7109375,695.8945313,25.296875,24.78710938,12.20507813,708.0136719,732.8867188,1378.605469,50.08398438,12.21289063,1440.902,0.03475877,0.035729359,0.033821201,0.9567653,0.964262365,0.949525368,0.008475864,8.28E-06,0.016653431,,,,1,,15:04,2,2,0,3,3,0.005859375
BW4847,sd,5,1,1,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"missing ADC map",,,1,,08:31,2,2,0,3,3,
BW4848,sd,5,1,1,1,0,0,0,0,0,0,0,0,0,,4.245239799,10.98351419,0.115554,6.77238,7.60295,680.7441406,529.1347656,34.33984375,59.55273438,155.6425781,715.0839844,744.3300781,1209.878906,93.89257813,155.7050781,1459.477,0.06433303,0.048022113,0.080008502,0.8289812,0.951977887,0.710887254,0.1066855,0,0.209104244,,,,1,,12:51,2,2,0,3,3,0
BW4849,sd,5,1,1,1,0,0,0,0,0,0,0,0,0,,5.114291672,12.64631672,0.403913,5.73596,8.63909,613.9804688,277.3339844,72.51171875,92.41796875,400.0273438,686.5058594,769.7792969,891.3144531,164.9296875,400.1835938,1456.428,0.1132426,0.105624326,0.120057748,0.6119867,0.894355759,0.360277271,0.2747706,1.99E-05,0.519664981,,,,1,,07:03,2,2,1,4,3,0.013671875
BW5451,iw,5,1,1,1,0,0,0,0,0,0,0,0,0,,3.258753896,4.11172901,0.00555488,7.10525,7.14483,706.2207031,519.0800781,13.76953125,23.03320313,178.1757813,720.0546875,720.2890625,1225.300781,36.80273438,178.3085938,1440.413,0.02555012,0.019122896,0.031977722,0.8506595,0.980787592,0.720655227,0.1237899,8.95E-05,0.247367051,,,,1,,11:46,2,2,0,4,4,0.064453125
BW5452,iw,5,1,1,1,0,0,0,0,0,0,0,0,0,,3.032320724,3.714159741,0.0917144,6.85805,7.51726,676.9570313,663.9042969,21.85742188,22.80273438,32.12304688,698.8203125,718.8300781,1340.861328,44.66015625,32.1484375,1417.669,0.03150253,0.0312776,0.031722009,0.9458209,0.968714016,0.923590035,0.02267697,8.38E-06,0.044687956,,,,1,,09:50,2,2,1,4,4,0.005859375
BW5454,iw,5,1,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,0,4,4,
BW5455,iw,5,1,1,1,0,0,0,0,0,0,0,0,0,,3.109035058,3.822476444,0.285386,6.16192,8.21314,681.1289063,529.9609375,10.95703125,9.62109375,216.5585938,692.0859375,756.140625,1211.089844,20.578125,216.6386719,1448.307,0.0142084,0.015831894,0.012723948,0.8362108,0.984168106,0.70087616,0.1495806,0,0.286399893,,,,1,,10:48,1,1,1,4,4,0
BW5457,iw,5,1,1,1,0,0,0,0,0,0,0,0,0,,3.246448152,4.071614817,0.0878399,6.69269,7.30759,667.1132813,690.4550781,23.85546875,24.09960938,3.6015625,690.9707031,718.15625,1357.568359,47.95507813,3.60546875,1409.128,0.03403174,0.034524573,0.033557613,0.96341,0.9654726,0.961427375,0.002558653,2.83E-06,0.005015012,,,,1,,10:40,1,1,1,4,4,0.001953125
