Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
enro_animal_id,enrollment,,text,Animal ID,,Two letters followed by four digits (XX####),,,,,,,,,,,
enro_eartag_color,enrollment,,radio,Animal ear tag color,"1, Orange | 2, Yellow | 3, White | 4, Blue | 5, Green | 6, None",,,,,,,y,,,,,
enro_id_other,enrollment,,text,"If ear tag is missing, please describe how the animal will be identified",,,,,,,[enro_eartag_color]='6',,,,,,
enro_enroll_dt,enrollment,,text,Enrollment date,,,datetime_mdy,,,,,y,,,,,
enro_span,enrollment,,radio,SPAN,"1, 1 | 2, 2 | 3, 3 | 4, 4",,,,,,[user-name] = 'jlamb' or [user-name] = 'knagarkatti',,,,,,
enro_stage,enrollment,,radio,Stage,"0, Pilot | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 6, Embolic Clot",,,,,,[user-name] = 'jlamb' or [user-name] = 'knagarkatti',,,,,,
enro_model,enrollment,,radio,Enrollment model,"1, SHR | 2, Obesity Induced Hyperglycemia | 3, Aging mouse | 4, Young healthy mouse | 5, Young healthy rat",,,,,,,y,,,,,
enro_protocol_no,enrollment,,text,IACUC protocol number,,,,,,,,,,,,,
enro_species,enrollment,,radio,Species,"1, Rat|2, Mouse",,,,,,,y,,,,,
enro_strain,enrollment,,radio,Strain,"1, C57bl6/J | 3, SHR | 4, Sprague Dawley | 2, Other",,,,,,,y,,,,,
enro_strain_oth,enrollment,,text,"If other strain, specify",,,,,,,[enro_strain] = '2',,,,,,
enro_animal_source,enrollment,,radio,What is the source of the animal?,"1, Vendor supplied|2, In-house bred",,,,,,,y,,,,,
enro_vendor,enrollment,,radio,"If vendor supplied, specify vendor","1, Jackson | 3, Envigo | 4, NIA | 5, Charles River | 2, Other",,,,,,[enro_animal_source] = '1',y,,,,,
enro_vendor_oth,enrollment,,text,"If other vendor, specify",,,,,,,[enro_vendor] = '2',,,,,,
enro_vendor_arrival_dt,enrollment,,text,"If vendor supplied, specify arrival date",,,date_mdy,,,,[enro_animal_source] = '1',,,,,,
enro_animal_dob,enrollment,,text,Date of birth,,,date_mdy,,,,,y,,,,,
enro_light_on,enrollment,,text,Time that the vivarium lights turn on,,,time,,,,,,,,,,
enro_light_off,enrollment,,text,Time that the vivarium lights turn off,,,time,,,,,,,,,,
enro_vendor_map_conduct,enrollment,,radio,Did the vendor measure blood pressure before shipment?,"1, Yes | 0, No",,,,,,[enro_species] = '1' and [enro_model]= '1',,,,,,
enro_vendor_map_dt,enrollment,,text,Date of measurement,,,date_mdy,,,,[enro_vendor_map_conduct] = '1',,,,,,
enro_vendor_map_age,enrollment,,calc,"Age at vendor measurement (months) 
(CC view only)","round(datediff([enro_animal_dob], [enro_vendor_map_dt], 'M', 'mdy', true),2)",,,,,,[enro_vendor_map_conduct] = '1',,,,,, @HIDDEN
enro_vendor_map,enrollment,,text,Blood pressure (MAP) reading provided by vendor (mmHG),,,number,,,,[enro_vendor_map_conduct] = '1',,,,,,
enro_sex,enrollment,,radio,Sex,"0, Female|1, Male|2, Ovariectomized female|3, Neutered male",,,,,,,y,,,,,
enro_weight,enrollment,,text,Weight at enrollment (g),,,number,,,,,,,,,,
enro_diet_start_dt,enrollment,,text,Date high fat diet initiated,,,date_mdy,,,,[enro_model]='2',y,,,,,
enro_diet_fed,enrollment,,radio,Diet fed,"1, TD.06414 | 2, Other (with prior CC approval)",Please obtain approval to use other diet than Teklad,,,,,[enro_model]='2',,,,,,
enro_other_diet,enrollment,,text,Brand and product # of other diet,,,,,,,[enro_diet_fed]='2',,,,,,
enro_comments,enrollment,,notes,Comments,,,,,,,,,,,,,
enro_logby,enrollment,,text,Animal logged in by,,REDCap ID,number,,,,,,,,,,
itt_conduct,intent_to_treat_itt,"<div class=""rich-text-field-label""><h4><span style=""color: #ff0000;"">REMINDER: Once this form is complete, please allow for a 48 business hour turnaround response from the Coordinating Center in regards to Randomization.</span></h4></div>",radio,Was this assessment/procedure conducted?,"1, Yes | 0, No",,,,,,[enrollment_complete] = '2',y,,,,,
itt_conduct_rsn,intent_to_treat_itt,,radio,"If not conducted, specify reason","1, Animal death|2, Equipment failure|3, Other",,,,,,[itt_conduct] = '0',,,,,,
itt_conduct_rsn_oth,intent_to_treat_itt,,text,"If other reason not conducted, specify",,,,,,,[itt_conduct_rsn] = '3',,,,,,
itt_weight,intent_to_treat_itt,,text,Weight at ITT (g),,,number,,,,[itt_conduct]= '1',y,,,,,
itt_weight_change_mouse,intent_to_treat_itt,,calc,"Weight gain since enrollment (g) 
","round([itt_weight]-[enro_weight],2)",,,,,,[itt_conduct] = '1',,,,,,
itt_map,intent_to_treat_itt,,text,Blood pressure (MAP) at ITT (mmHg),,,number,,,,[itt_conduct]= '1' and [enro_model]= '1',,,,,,
itt_blood_glucose_dt,intent_to_treat_itt,,text,Date of blood glucose reading,,,date_mdy,,,,[itt_conduct]= '1' and [enro_species]='2',,,,,,
itt_blood_glucose,intent_to_treat_itt,,text,Blood glucose (mg/dl) at ITT,,,number,,,,[itt_conduct]= '1' and [enro_species]='2',,,,,,
itt_glucometer_brand,intent_to_treat_itt,,text,Glucometer brand,,,,,,,[itt_conduct]= '1' and [enro_species]='2',,,,,,
itt_plan_surg_dt,intent_to_treat_itt,,text,Planned surgery date,,,date_mdy,,,,[itt_conduct] = '1',y,,,,,
itt_occlusion_model,intent_to_treat_itt,,dropdown,What occlusion model will be performed?,"1, Filament | 2, Thromboembolic (clot) | 3, Artifical spheres | 4, Endothelin-1 | 5, Collagenase | 6, ICH induction",,,,,,[itt_conduct] = '1',,,,,,
itt_animal_age,intent_to_treat_itt,,calc,Animal age (months),"round(datediff ([enro_animal_dob], [itt_plan_surg_dt], ""M"" , ""mdy"", true),2)",,,,,,[itt_conduct] = '1',,,,,,
itt_diet_duration,intent_to_treat_itt,,calc,"Duration animal on high fat diet (days) 
(CC view only)","datediff([enro_diet_start_dt],[itt_plan_surg_dt], ""d"", ""mdy"", true)",,,,,,[itt_conduct] = '1' and [enro_model] = '2',,,,,, @HIDDEN
