"","enro_animal_id"
"1","BB0325"
"2","BB0326"
"3","BB0327"
"4","BB0332"
"5","BB0333"
"6","BM4063"
"7","BM4064"
"8","BM4079"
"9","BW4831"
"10","BW4832"
"11","BW4847"
"12","BW4848"
"13","BW4849"
"14","BW5451"
"15","BW5452"
"16","BW5453"
"17","BW5454"
"18","BW5455"
"19","BW5456"
"20","BW5457"
"21","BW5458"
"22","BW5459"
"23","BW5460"
"24","BW5461"
"25","BW5692"
"26","BW5693"
"27","BW5694"
"28","BW5704"
"29","BW5706"
"30","CC9890"
"31","CC9891"
"32","CC9892"
"33","CC9893"
"34","CC9894"
"35","CC9895"
"36","CC9916"
"37","CC9917"
"38","CC9918"
"39","CC9919"
"40","CD0516"
"41","CD0517"
"42","CD0523"
"43","CD0698"
"44","CD0699"
"45","CD0700"
"46","CD0701"
"47","CD0710"
"48","CD0711"
"49","CD0712"
"50","CD0713"
"51","CD0729"
"52","GF5961"
"53","GF5962"
"54","GF5963"
"55","GF5964"
"56","GF5974"
"57","GF5975"
"58","GF5976"
"59","GF5977"
"60","GF6014"
"61","GF6015"
"62","GT2260"
"63","GT2266"
"64","GT2279"
"65","HC7836"
"66","HC7837"
"67","HC7838"
"68","HC7842"
"69","HC7843"
"70","HC7875"
"71","HC7876"
"72","HC7882"
"73","HC7883"
"74","HC7884"
"75","HC8331"
"76","HC8332"
"77","HC8333"
"78","HC8334"
"79","HC8335"
"80","HC8336"
"81","HC8337"
"82","HC8338"
"83","HC8339"
"84","HC8340"
"85","HC8341"
"86","HG1234"
"87","HG1239"
"88","HG1246"
"89","HG1254"
"90","HG1265"
"91","HG1268"
"92","HG1330"
"93","HG1331"
"94","HG1334"
"95","HG1335"
"96","HG1340"
"97","HG1341"
"98","HG1342"
"99","HG1354"
"100","HG1360"
"101","HG1361"
"102","HG1362"
"103","HG1365"
"104","HG1366"
"105","HG1367"
"106","HG1432"
"107","HG1433"
"108","HG1434"
"109","HG1435"
"110","HG1440"
"111","HG1441"
"112","HG1453"
"113","LJ5661"
"114","LJ5662"
"115","LJ5663"
"116","LJ5664"
"117","LJ5668"
"118","LJ5670"
"119","LJ5675"
"120","LJ5676"
"121","LW7390"
"122","LW7395"
"123","MJ5135"
"124","MJ5137"
"125","MJ5138"
"126","MJ5139"
"127","MJ5141"
"128","MJ5142"
"129","MJ5174"
"130","MJ5175"
"131","MJ5176"
"132","MJ5182"
"133","MJ5183"
"134","MJ5184"
"135","MJ5831"
"136","MJ5832"
"137","MJ5833"
"138","MJ5834"
"139","MJ5835"
"140","MJ5836"
"141","MJ5837"
"142","MJ5838"
"143","MJ5839"
"144","MJ5840"
"145","MJ5841"
"146","MN4910"
"147","MN4911"
"148","MN4914"
"149","MN4915"
"150","MN4924"
"151","MN4925"
"152","MN4940"
"153","MN4941"
"154","MN4943"
"155","MN4944"
"156","MN4945"
"157","MN4946"
"158","MN5635"
"159","MN5636"
"160","MN5643"
"161","MN5654"
"162","MN5665"
"163","MN5702"
"164","MN5730"
"165","MN5731"
"166","MN5732"
"167","MN5733"
"168","MN5738"
"169","MN5739"
"170","QQ3348"
"171","QQ3351"
"172","RQ9431"
"173","RQ9432"
"174","RQ9447"
"175","RQ9448"
"176","RQ9450"
"177","RQ9456"
"178","RQ9457"
"179","RQ9462"
"180","RQ9463"
"181","RR0052"
"182","RR0053"
"183","RR0054"
"184","RR0055"
"185","RR0056"
"186","RR0057"
"187","RR0058"
"188","RR0059"
"189","RR0060"
"190","RR0061"
"191","RR0062"
"192","RV6518"
"193","RV6519"
"194","RV6522"
"195","RV6523"
"196","RV6542"
"197","RV6543"
"198","RV6544"
"199","RV9457"
"200","RV9468"
"201","RV9534"
"202","RV9535"
"203","RV9545"
"204","RV9573"
"205","RV9579"
"206","RV9580"
"207","RV9585"
"208","RV9586"
"209","RV9587"
"210","RV9590"
"211","RV9591"
"212","RV9598"
"213","RV9599"
"214","RV9600"
"215","RV9601"
"216","RV9610"
"217","RV9612"
"218","RV9613"
"219","RV9614"
"220","RV9615"
"221","RV9616"
"222","RV9617"
"223","RV9618"
"224","RV9619"
"225","RV9621"
"226","VV5204"
"227","VV5205"
"228","VV5206"
"229","VV5213"
"230","VV5214"
"231","VV5249"
"232","VV5258"
"233","WI2549"
"234","WI2550"
"235","WI2555"
"236","WS3717"
"237","WS3718"
"238","WS3719"
"239","WS3721"
"240","WS3722"
"241","WS3756"
"242","WS3762"
"243","WS3763"
"244","WS4351"
"245","WS4352"
"246","WS4353"
"247","WS4354"
"248","WS4355"
"249","WS4356"
"250","WS4357"
"251","WS4358"
"252","WS4359"
"253","WS4360"
"254","WS4361"
"255","WS4362"
"256","WX5830"
"257","WX5831"
"258","WX5834"
"259","WX5835"
"260","WX5838"
"261","WX5839"
"262","WX5852"
"263","WX5853"
"264","WX5854"
"265","WX5855"
"266","WX6555"
"267","WX6556"
"268","WX6563"
"269","WX6564"
"270","WX6573"
"271","WX6577"
"272","WX6618"
"273","WX6619"
"274","WX6624"
"275","WX6625"
"276","WX6637"
"277","WX6638"
"278","WX6639"
"279","WX6640"
"280","WX6642"
"281","WX6644"
"282","WX6646"
"283","WX6649"
