"","enro_animal_id","rand_conduct","srg_conduct","successful_surgery","txas_reperfusion_actual","srg_clot_length","eos_day_diff_srg_death","behav_d30_conduct"
"1","BB0325","Yes","Yes","Yes",NA,4,45,1
"2","BB0326","Yes","Yes","Yes",NA,4,41,1
"3","BB0333","Yes","Yes","Yes",NA,4,41,1
"4","BM4063","Yes","Yes","Yes",NA,4,31,1
"5","BM4079","Yes","Yes","Yes",NA,4,30,1
"6","BW4847","Yes","Yes","Yes",NA,3,35,1
"7","BW4848","Yes","Yes","Yes",NA,3,37,1
"8","BW4849","Yes","Yes","Yes",NA,3,31,1
"9","BW5451","Yes","Yes","Yes",NA,4,30,1
"10","BW5452","Yes","Yes","Yes",NA,4,31,1
"11","BW5455","Yes","Yes","Yes",NA,4,31,1
"12","BW5457","Yes","Yes","Yes",NA,4,30,1
"13","BW5459","Yes","Yes","Yes",NA,3,30,1
"14","BW5461","Yes","Yes","Yes",NA,3,30,1
"15","BW5692","Yes","Yes","Yes",NA,4,33,1
"16","BW5693","Yes","Yes","Yes",NA,4,34,1
"17","CC9891","Yes","Yes","Yes",NA,4,30,1
"18","CC9892","Yes","Yes","Yes",NA,4,30,1
"19","CC9893","Yes","Yes","Yes",NA,4,31,1
"20","CC9917","Yes","Yes","Yes",NA,4,30,1
"21","CC9918","Yes","Yes","Yes",NA,4,29,1
"22","CD0516","Yes","Yes","Yes",NA,3,34,1
"23","CD0517","Yes","Yes","Yes",NA,3,42,1
"24","CD0523","Yes","Yes","Yes",NA,3,35,1
"25","CD0698","Yes","Yes","Yes",NA,3,31,1
"26","CD0699","Yes","Yes","Yes",NA,3,31,1
"27","CD0701","Yes","Yes","Yes",NA,3,30,1
"28","CD0710","Yes","Yes","Yes",NA,4,32,1
"29","CD0711","Yes","Yes","Yes",NA,3,30,1
"30","CD0713","Yes","Yes","Yes",NA,3,30,1
"31","CD0729","Yes","Yes","Yes",NA,3,30,1
"32","GF5961","Yes","Yes","Yes",NA,4,44,1
"33","GF5963","Yes","Yes","Yes",NA,4,35,1
"34","GF5964","Yes","Yes","Yes",NA,4,41,1
"35","GF5974","Yes","Yes","Yes",NA,4,34,1
"36","GF5975","Yes","Yes","Yes",NA,4,42,1
"37","GF6014","Yes","Yes","Yes",NA,3,41,1
"38","GT2260","Yes","Yes","Yes",NA,4,30,1
"39","GT2279","Yes","Yes","Yes",NA,4,38,1
"40","HC7838","Yes","Yes","Yes",NA,3,36,1
"41","HC7876","Yes","Yes","Yes",NA,4,34,1
"42","HC8335","Yes","Yes","Yes",NA,4,29,1
"43","HC8336","Yes","Yes","Yes",NA,4,30,1
"44","HC8337","Yes","Yes","Yes",NA,4,30,1
"45","HC8338","Yes","Yes","Yes",NA,3,31,1
"46","HC8339","Yes","Yes","Yes",NA,3,31,1
"47","HC8340","Yes","Yes","Yes",NA,3,29,1
"48","HC8341","Yes","Yes","Yes",NA,3,30,1
"49","HG1234","Yes","Yes","Yes",NA,3,30,1
"50","HG1239","Yes","Yes","Yes",NA,3,34,1
"51","HG1246","Yes","Yes","Yes",NA,3,30,1
"52","HG1254","Yes","Yes","Yes",NA,3,34,1
"53","HG1265","Yes","Yes","Yes",NA,3,35,1
"54","HG1268","Yes","Yes","Yes",NA,3,34,1
"55","HG1330","Yes","Yes","Yes",NA,3,30,1
"56","HG1331","Yes","Yes","Yes",NA,3,31,1
"57","HG1334","Yes","Yes","Yes",NA,3,30,1
"58","HG1335","Yes","Yes","Yes",NA,3,31,1
"59","HG1340","Yes","Yes","Yes",NA,3,31,1
"60","HG1342","Yes","Yes","Yes",NA,3,31,1
"61","HG1354","Yes","Yes","Yes",NA,3,31,1
"62","HG1360","Yes","Yes","Yes",NA,4,32,1
"63","HG1365","Yes","Yes","Yes",NA,3,30,1
"64","HG1366","Yes","Yes","Yes",NA,3,30,1
"65","HG1432","Yes","Yes","Yes",NA,4,31,1
"66","HG1433","Yes","Yes","Yes",NA,4,31,1
"67","HG1434","Yes","Yes","Yes",NA,4,30,1
"68","HG1435","Yes","Yes","Yes",NA,4,31,1
"69","HG1453","Yes","Yes","Yes",NA,4,31,1
"70","LJ5661","Yes","Yes","Yes",NA,4,44,1
"71","LJ5662","Yes","Yes","Yes",NA,4,48,1
"72","LJ5663","Yes","Yes","Yes",NA,4,35,1
"73","LJ5668","Yes","Yes","Yes",NA,3,41,1
"74","LJ5670","Yes","Yes","Yes",NA,4,45,1
"75","LJ5675","Yes","Yes","Yes",NA,4,34,1
"76","LJ5676","Yes","Yes","Yes",NA,4,34,1
"77","LW7390","Yes","Yes","Yes",NA,4,31,1
"78","MJ5135","Yes","Yes","Yes",NA,3,31,1
"79","MJ5137","Yes","Yes","Yes",NA,3,35,1
"80","MJ5139","Yes","Yes","Yes",NA,4,30,1
"81","MJ5141","Yes","Yes","Yes",NA,3,36,1
"82","MJ5174","Yes","Yes","Yes",NA,4,36,1
"83","MJ5176","Yes","Yes","Yes",NA,4,34,1
"84","MJ5183","Yes","Yes","Yes",NA,4,43,1
"85","MJ5831","Yes","Yes","Yes",NA,4,30,1
"86","MJ5832","Yes","Yes","Yes",NA,4,31,1
"87","MJ5835","Yes","Yes","Yes",NA,4,31,1
"88","MJ5836","Yes","Yes","Yes",NA,4,30,1
"89","MJ5837","Yes","Yes","Yes",NA,4,30,1
"90","MJ5839","Yes","Yes","Yes",NA,3,30,1
"91","MJ5840","Yes","Yes","Yes",NA,3,30,1
"92","MJ5841","Yes","Yes","Yes",NA,3,29,1
"93","MN4910","Yes","Yes","Yes",NA,3,31,1
"94","MN4911","Yes","Yes","Yes",NA,3,31,1
"95","MN4924","Yes","Yes","Yes",NA,3,30,1
"96","MN4925","Yes","Yes","Yes",NA,3,30,1
"97","MN4940","Yes","Yes","Yes",NA,4,32,1
"98","MN4944","Yes","Yes","Yes",NA,3,30,1
"99","MN4946","Yes","Yes","Yes",NA,3,30,1
"100","MN5635","Yes","Yes","Yes",NA,3,31,1
"101","MN5636","Yes","Yes","Yes",NA,3,33,1
"102","MN5643","Yes","Yes","Yes",NA,3,34,1
"103","MN5654","Yes","Yes","Yes",NA,3,35,1
"104","MN5665","Yes","Yes","Yes",NA,3,35,1
"105","MN5702","Yes","Yes","Yes",NA,4,31,1
"106","MN5730","Yes","Yes","Yes",NA,4,31,1
"107","MN5731","Yes","Yes","Yes",NA,4,31,1
"108","MN5733","Yes","Yes","Yes",NA,4,30,1
"109","MN5738","Yes","Yes","Yes",NA,4,30,1
"110","MN5739","Yes","Yes","Yes",NA,4,30,1
"111","RQ9431","Yes","Yes","Yes",NA,4,30,1
"112","RQ9447","Yes","Yes","Yes",NA,3,36,1
"113","RQ9448","Yes","Yes","Yes",NA,3,36,1
"114","RQ9450","Yes","Yes","Yes",NA,4,36,1
"115","RQ9462","Yes","Yes","Yes",NA,4,33,1
"116","RR0053","Yes","Yes","Yes",NA,4,42,1
"117","RR0055","Yes","Yes","Yes",NA,4,29,1
"118","RR0056","Yes","Yes","Yes",NA,4,31,1
"119","RR0057","Yes","Yes","Yes",NA,4,29,1
"120","RR0058","Yes","Yes","Yes",NA,4,29,1
"121","RR0060","Yes","Yes","Yes",NA,3,30,1
