"","enro_animal_id","rand_conduct","srg_conduct","successful_surgery","txas_reperfusion_actual","srg_clot_length","eos_day_diff_srg_death"
"1","BB0325","Yes","Yes","Yes","TNKase",4,45
"2","BB0326","Yes","Yes","Yes","Control",4,41
"3","BB0333","Yes","Yes","Yes","Control",4,41
"4","BM4063","Yes","Yes","Yes","TNKase",4,31
"5","BM4079","Yes","Yes","Yes","TNKase",4,30
"6","BW4847","Yes","Yes","Yes","Control",3,35
"7","BW4848","Yes","Yes","Yes","Control",3,37
"8","BW4849","Yes","Yes","Yes","Control",3,31
"9","BW5451","Yes","Yes","Yes","Control",4,30
"10","BW5452","Yes","Yes","Yes","Control",4,31
"11","BW5455","Yes","Yes","Yes","TNKase",4,31
"12","BW5457","Yes","Yes","Yes","TNKase",4,30
"13","BW5459","Yes","Yes","Yes","Control",3,30
"14","BW5461","Yes","Yes","Yes","TNKase",3,30
"15","BW5692","Yes","Yes","Yes","Control",4,33
"16","BW5693","Yes","Yes","Yes","TNKase",4,34
"17","CC9891","Yes","Yes","Yes","Control",4,30
"18","CC9892","Yes","Yes","Yes","Control",4,30
"19","CC9893","Yes","Yes","Yes","TNKase",4,31
"20","CC9917","Yes","Yes","Yes","Control",4,30
"21","CC9918","Yes","Yes","Yes","TNKase",4,29
"22","CD0516","Yes","Yes","Yes","TNKase",3,34
"23","CD0517","Yes","Yes","Yes","Control",3,42
"24","CD0523","Yes","Yes","Yes","Control",3,35
"25","CD0698","Yes","Yes","Yes","TNKase",3,31
"26","CD0699","Yes","Yes","Yes","TNKase",3,31
"27","CD0701","Yes","Yes","Yes","Control",3,30
"28","CD0710","Yes","Yes","Yes","TNKase",4,32
"29","CD0711","Yes","Yes","Yes","TNKase",3,30
"30","CD0713","Yes","Yes","Yes","Control",3,30
"31","CD0729","Yes","Yes","Yes","Control",3,30
"32","GF5961","Yes","Yes","Yes","Control",4,44
"33","GF5963","Yes","Yes","Yes","TNKase",4,35
"34","GF5964","Yes","Yes","Yes","Control",4,41
"35","GF5974","Yes","Yes","Yes","Control",4,34
"36","GF5975","Yes","Yes","Yes","TNKase",4,42
"37","GF6014","Yes","Yes","Yes","TNKase",3,41
"38","GT2260","Yes","Yes","Yes","Control",4,30
"39","GT2279","Yes","Yes","Yes","Control",4,38
"40","HC7838","Yes","Yes","Yes","TNKase",3,36
"41","HC7876","Yes","Yes","Yes","TNKase",4,34
"42","HC8335","Yes","Yes","Yes","Control",4,29
"43","HC8336","Yes","Yes","Yes","Control",4,30
"44","HC8337","Yes","Yes","Yes","Control",4,30
"45","HC8338","Yes","Yes","Yes","TNKase",3,31
"46","HC8339","Yes","Yes","Yes","TNKase",3,31
"47","HC8340","Yes","Yes","Yes","Control",3,29
"48","HC8341","Yes","Yes","Yes","Control",3,30
"49","HG1234","Yes","Yes","Yes","TNKase",3,30
"50","HG1239","Yes","Yes","Yes","Control",3,34
"51","HG1246","Yes","Yes","Yes","Control",3,30
"52","HG1254","Yes","Yes","Yes","TNKase",3,34
"53","HG1265","Yes","Yes","Yes","Control",3,35
"54","HG1268","Yes","Yes","Yes","Control",3,34
"55","HG1330","Yes","Yes","Yes","TNKase",3,30
"56","HG1331","Yes","Yes","Yes","TNKase",3,31
"57","HG1334","Yes","Yes","Yes","Control",3,30
"58","HG1335","Yes","Yes","Yes","TNKase",3,31
"59","HG1340","Yes","Yes","Yes","Control",3,31
"60","HG1342","Yes","Yes","Yes","TNKase",3,31
"61","HG1354","Yes","Yes","Yes","TNKase",3,31
"62","HG1360","Yes","Yes","Yes","TNKase",4,32
"63","HG1365","Yes","Yes","Yes","Control",3,30
"64","HG1366","Yes","Yes","Yes","TNKase",3,30
"65","HG1432","Yes","Yes","Yes","TNKase",4,31
"66","HG1433","Yes","Yes","Yes","Control",4,31
"67","HG1434","Yes","Yes","Yes","Control",4,30
"68","HG1435","Yes","Yes","Yes","Control",4,31
"69","HG1453","Yes","Yes","Yes","Control",4,31
"70","LJ5661","Yes","Yes","Yes","TNKase",4,44
"71","LJ5662","Yes","Yes","Yes","TNKase",4,48
"72","LJ5663","Yes","Yes","Yes","TNKase",4,35
"73","LJ5668","Yes","Yes","Yes","TNKase",3,41
"74","LJ5670","Yes","Yes","Yes","Control",4,45
"75","LJ5675","Yes","Yes","Yes","Control",4,34
"76","LJ5676","Yes","Yes","Yes","Control",4,34
"77","LW7390","Yes","Yes","Yes","Control",4,31
"78","MJ5135","Yes","Yes","Yes","TNKase",3,31
"79","MJ5137","Yes","Yes","Yes","TNKase",3,35
"80","MJ5139","Yes","Yes","Yes","TNKase",4,30
"81","MJ5141","Yes","Yes","Yes","Control",3,36
"82","MJ5174","Yes","Yes","Yes","Control",4,36
"83","MJ5176","Yes","Yes","Yes","TNKase",4,34
"84","MJ5183","Yes","Yes","Yes","TNKase",4,43
"85","MJ5831","Yes","Yes","Yes","Control",4,30
"86","MJ5832","Yes","Yes","Yes","TNKase",4,31
"87","MJ5835","Yes","Yes","Yes","TNKase",4,31
"88","MJ5836","Yes","Yes","Yes","Control",4,30
"89","MJ5837","Yes","Yes","Yes","Control",4,30
"90","MJ5839","Yes","Yes","Yes","Control",3,30
"91","MJ5840","Yes","Yes","Yes","TNKase",3,30
"92","MJ5841","Yes","Yes","Yes","TNKase",3,29
"93","MN4910","Yes","Yes","Yes","Control",3,31
"94","MN4911","Yes","Yes","Yes","Control",3,31
"95","MN4924","Yes","Yes","Yes","TNKase",3,30
"96","MN4925","Yes","Yes","Yes","Control",3,30
"97","MN4940","Yes","Yes","Yes","Control",4,32
"98","MN4944","Yes","Yes","Yes","Control",3,30
"99","MN4946","Yes","Yes","Yes","TNKase",3,30
"100","MN5635","Yes","Yes","Yes","TNKase",3,31
"101","MN5636","Yes","Yes","Yes","TNKase",3,33
"102","MN5643","Yes","Yes","Yes","TNKase",3,34
"103","MN5654","Yes","Yes","Yes","Control",3,35
"104","MN5665","Yes","Yes","Yes","TNKase",3,35
"105","MN5702","Yes","Yes","Yes","TNKase",4,31
"106","MN5730","Yes","Yes","Yes","TNKase",4,31
"107","MN5731","Yes","Yes","Yes","TNKase",4,31
"108","MN5733","Yes","Yes","Yes","Control",4,30
"109","MN5738","Yes","Yes","Yes","TNKase",4,30
"110","MN5739","Yes","Yes","Yes","Control",4,30
"111","RQ9431","Yes","Yes","Yes","TNKase",4,30
"112","RQ9447","Yes","Yes","Yes","TNKase",3,36
"113","RQ9448","Yes","Yes","Yes","Control",3,36
"114","RQ9450","Yes","Yes","Yes","Control",4,36
"115","RQ9462","Yes","Yes","Yes","Control",4,33
"116","RR0053","Yes","Yes","Yes","TNKase",4,42
"117","RR0055","Yes","Yes","Yes","Control",4,29
"118","RR0056","Yes","Yes","Yes","TNKase",4,31
"119","RR0057","Yes","Yes","Yes","Control",4,29
"120","RR0058","Yes","Yes","Yes","TNKase",4,29
"121","RR0060","Yes","Yes","Yes","TNKase",3,30
"122","RR0061","Yes","Yes","Yes","TNKase",3,29
"123","RR0062","Yes","Yes","Yes","Control",3,29
"124","RV6518","Yes","Yes","Yes","Control",4,30
"125","RV6519","Yes","Yes","Yes","TNKase",4,29
"126","RV6542","Yes","Yes","Yes","TNKase",4,29
"127","RV9457","Yes","Yes","Yes","TNKase",3,41
"128","RV9534","Yes","Yes","Yes","TNKase",4,30
"129","RV9535","Yes","Yes","Yes","TNKase",3,31
"130","RV9545","Yes","Yes","Yes","Control",3,30
"131","RV9573","Yes","Yes","Yes","Control",4,41
"132","RV9580","Yes","Yes","Yes","Control",4,38
"133","RV9587","Yes","Yes","Yes","Control",4,45
"134","RV9590","Yes","Yes","Yes","Control",3,30
