"","enro_animal_id","rand_conduct","srg_conduct","successful_surgery","txas_reperfusion_actual","srg_clot_length","eos_day_diff_srg_death","behav_d30_conduct"
"1","BB0327","Yes","Yes","Yes",NA,4,0,0
"2","BB0332","Yes","Yes","Yes",NA,4,0,0
"3","BW4832","Yes","Yes","Yes",NA,3,22,0
"4","BW5454","Yes","Yes","Yes",NA,4,1,0
"5","BW5694","Yes","Yes","Yes",NA,4,0,0
"6","BW5704","Yes","Yes","Yes",NA,4,2,0
"7","CC9890","Yes","Yes","Yes",NA,4,1,0
"8","CC9894","Yes","Yes","Yes",NA,4,2,0
"9","CC9895","Yes","Yes","Yes",NA,4,2,0
"10","CC9916","Yes","Yes","Yes",NA,4,2,0
"11","CC9919","Yes","Yes","Yes",NA,4,1,0
"12","CD0700","Yes","Yes","Yes",NA,3,12,0
"13","CD0712","Yes","Yes","Yes",NA,3,1,0
"14","GF5962","Yes","Yes","Yes",NA,4,0,0
"15","GF5976","Yes","Yes","Yes",NA,4,2,0
"16","GF6015","Yes","Yes","Yes",NA,3,0,0
"17","GT2266","Yes","Yes","Yes",NA,4,0,0
"18","HC7837","Yes","Yes","Yes",NA,3,2,0
"19","HC7842","Yes","Yes","Yes",NA,4,2,0
"20","HC7843","Yes","Yes","Yes",NA,3,0,0
"21","HC7875","Yes","Yes","Yes",NA,4,1,0
"22","HC7882","Yes","Yes","Yes",NA,4,1,0
"23","HC7884","Yes","Yes","Yes",NA,4,5,0
"24","HC8331","Yes","Yes","Yes",NA,4,2,0
"25","HC8333","Yes","Yes","Yes",NA,4,1,0
"26","HC8334","Yes","Yes","Yes",NA,4,1,0
"27","HG1341","Yes","Yes","Yes",NA,4,2,0
"28","HG1362","Yes","Yes","Yes",NA,4,1,0
"29","HG1367","Yes","Yes","Yes",NA,3,2,0
"30","MJ5142","Yes","Yes","Yes",NA,3,1,0
"31","MJ5175","Yes","Yes","Yes",NA,4,1,0
"32","MJ5182","Yes","Yes","Yes",NA,4,0,0
"33","MJ5184","Yes","Yes","Yes",NA,4,1,0
"34","MJ5833","Yes","Yes","Yes",NA,4,1,0
"35","MJ5834","Yes","Yes","Yes",NA,4,1,0
"36","MN4941","Yes","Yes","Yes",NA,4,1,0
"37","MN4943","Yes","Yes","Yes",NA,4,2,0
"38","MN4945","Yes","Yes","Yes",NA,3,1,0
"39","MN5732","Yes","Yes","Yes",NA,4,1,0
"40","QQ3348","Yes","Yes","Yes",NA,4,2,0
"41","QQ3351","Yes","Yes","Yes",NA,3,0,0
"42","RQ9432","Yes","Yes","Yes",NA,3,17,0
"43","RQ9457","Yes","Yes","Yes",NA,4,1,0
"44","RQ9463","Yes","Yes","Yes",NA,4,4,0
"45","RR0054","Yes","Yes","Yes",NA,4,1,0
"46","RR0059","Yes","Yes","Yes",NA,3,2,0
"47","RV6543","Yes","Yes","Yes",NA,4,2,0
"48","RV9585","Yes","Yes","Yes",NA,4,0,0
"49","RV9586","Yes","Yes","Yes",NA,4,2,0
"50","RV9598","Yes","Yes","Yes",NA,3,1,0
"51","RV9610","Yes","Yes","Yes",NA,4,2,0
"52","RV9612","Yes","Yes","Yes",NA,4,2,0
"53","RV9613","Yes","Yes","Yes",NA,4,3,0
"54","RV9616","Yes","Yes","Yes",NA,4,1,0
"55","RV9621","Yes","Yes","Yes",NA,3,2,0
"56","VV5206","Yes","Yes","Yes",NA,4,2,0
"57","WI2555","Yes","Yes","Yes",NA,4,1,0
"58","WS3719","Yes","Yes","Yes",NA,4,3,0
"59","WS3722","Yes","Yes","Yes",NA,3,1,0
"60","WS3756","Yes","Yes","Yes",NA,4,1,0
"61","WX5830","Yes","Yes","Yes",NA,4,2,0
"62","WX5831","Yes","Yes","Yes",NA,4,1,0
"63","WX5834","Yes","Yes","Yes",NA,4,2,0
"64","WX5855","Yes","Yes","Yes",NA,4,1,0
"65","WX6555","Yes","Yes","Yes",NA,3,14,0
"66","WX6577","Yes","Yes","Yes",NA,3,0,0
"67","WX6624","Yes","Yes","Yes",NA,3,1,0
"68","WX6638","Yes","Yes","Yes",NA,3,2,0
"69","WX6646","Yes","Yes","Yes",NA,4,2,0
"70","WX6649","Yes","Yes","Yes",NA,3,1,0
