"","enro_animal_id","rand_conduct","srg_conduct","successful_surgery","txas_reperfusion_actual","srg_clot_length"
"1","BB0325","Yes","Yes","Yes",NA,4
"2","BB0326","Yes","Yes","Yes",NA,4
"3","BB0327","Yes","Yes","Yes",NA,4
"4","BB0332","Yes","Yes","Yes",NA,4
"5","BB0333","Yes","Yes","Yes",NA,4
"6","BM4063","Yes","Yes","Yes",NA,4
"7","BM4079","Yes","Yes","Yes",NA,4
"8","BW4832","Yes","Yes","Yes",NA,3
"9","BW4847","Yes","Yes","Yes",NA,3
"10","BW4848","Yes","Yes","Yes",NA,3
"11","BW4849","Yes","Yes","Yes",NA,3
"12","BW5451","Yes","Yes","Yes",NA,4
"13","BW5452","Yes","Yes","Yes",NA,4
"14","BW5454","Yes","Yes","Yes",NA,4
"15","BW5455","Yes","Yes","Yes",NA,4
"16","BW5457","Yes","Yes","Yes",NA,4
"17","BW5459","Yes","Yes","Yes",NA,3
"18","BW5461","Yes","Yes","Yes",NA,3
"19","BW5692","Yes","Yes","Yes",NA,4
"20","BW5693","Yes","Yes","Yes",NA,4
"21","BW5694","Yes","Yes","Yes",NA,4
"22","BW5704","Yes","Yes","Yes",NA,4
"23","CC9890","Yes","Yes","Yes",NA,4
"24","CC9891","Yes","Yes","Yes",NA,4
"25","CC9892","Yes","Yes","Yes",NA,4
"26","CC9893","Yes","Yes","Yes",NA,4
"27","CC9894","Yes","Yes","Yes",NA,4
"28","CC9895","Yes","Yes","Yes",NA,4
"29","CC9916","Yes","Yes","Yes",NA,4
"30","CC9917","Yes","Yes","Yes",NA,4
"31","CC9918","Yes","Yes","Yes",NA,4
"32","CC9919","Yes","Yes","Yes",NA,4
"33","CD0516","Yes","Yes","Yes",NA,3
"34","CD0517","Yes","Yes","Yes",NA,3
"35","CD0523","Yes","Yes","Yes",NA,3
"36","CD0698","Yes","Yes","Yes",NA,3
"37","CD0699","Yes","Yes","Yes",NA,3
"38","CD0700","Yes","Yes","Yes",NA,3
"39","CD0701","Yes","Yes","Yes",NA,3
"40","CD0710","Yes","Yes","Yes",NA,4
"41","CD0711","Yes","Yes","Yes",NA,3
"42","CD0712","Yes","Yes","Yes",NA,3
"43","CD0713","Yes","Yes","Yes",NA,3
"44","CD0729","Yes","Yes","Yes",NA,3
"45","GF5961","Yes","Yes","Yes",NA,4
"46","GF5962","Yes","Yes","Yes",NA,4
"47","GF5963","Yes","Yes","Yes",NA,4
"48","GF5964","Yes","Yes","Yes",NA,4
"49","GF5974","Yes","Yes","Yes",NA,4
"50","GF5975","Yes","Yes","Yes",NA,4
"51","GF5976","Yes","Yes","Yes",NA,4
"52","GF6014","Yes","Yes","Yes",NA,3
"53","GF6015","Yes","Yes","Yes",NA,3
"54","GT2260","Yes","Yes","Yes",NA,4
"55","GT2266","Yes","Yes","Yes",NA,4
"56","GT2279","Yes","Yes","Yes",NA,4
"57","HC7837","Yes","Yes","Yes",NA,3
"58","HC7838","Yes","Yes","Yes",NA,3
"59","HC7842","Yes","Yes","Yes",NA,4
"60","HC7843","Yes","Yes","Yes",NA,3
"61","HC7875","Yes","Yes","Yes",NA,4
"62","HC7876","Yes","Yes","Yes",NA,4
"63","HC7882","Yes","Yes","Yes",NA,4
"64","HC7884","Yes","Yes","Yes",NA,4
"65","HC8331","Yes","Yes","Yes",NA,4
"66","HC8333","Yes","Yes","Yes",NA,4
"67","HC8334","Yes","Yes","Yes",NA,4
"68","HC8335","Yes","Yes","Yes",NA,4
"69","HC8336","Yes","Yes","Yes",NA,4
"70","HC8337","Yes","Yes","Yes",NA,4
"71","HC8338","Yes","Yes","Yes",NA,3
"72","HC8339","Yes","Yes","Yes",NA,3
"73","HC8340","Yes","Yes","Yes",NA,3
"74","HC8341","Yes","Yes","Yes",NA,3
"75","HG1234","Yes","Yes","Yes",NA,3
"76","HG1239","Yes","Yes","Yes",NA,3
"77","HG1246","Yes","Yes","Yes",NA,3
"78","HG1254","Yes","Yes","Yes",NA,3
"79","HG1265","Yes","Yes","Yes",NA,3
"80","HG1268","Yes","Yes","Yes",NA,3
"81","HG1330","Yes","Yes","Yes",NA,3
"82","HG1331","Yes","Yes","Yes",NA,3
"83","HG1334","Yes","Yes","Yes",NA,3
"84","HG1335","Yes","Yes","Yes",NA,3
"85","HG1340","Yes","Yes","Yes",NA,3
"86","HG1341","Yes","Yes","Yes",NA,4
"87","HG1342","Yes","Yes","Yes",NA,3
"88","HG1354","Yes","Yes","Yes",NA,3
"89","HG1360","Yes","Yes","Yes",NA,4
"90","HG1362","Yes","Yes","Yes",NA,4
"91","HG1365","Yes","Yes","Yes",NA,3
"92","HG1366","Yes","Yes","Yes",NA,3
"93","HG1367","Yes","Yes","Yes",NA,3
"94","HG1432","Yes","Yes","Yes",NA,4
"95","HG1433","Yes","Yes","Yes",NA,4
"96","HG1434","Yes","Yes","Yes",NA,4
"97","HG1435","Yes","Yes","Yes",NA,4
"98","HG1453","Yes","Yes","Yes",NA,4
"99","LJ5661","Yes","Yes","Yes",NA,4
"100","LJ5662","Yes","Yes","Yes",NA,4
"101","LJ5663","Yes","Yes","Yes",NA,4
"102","LJ5668","Yes","Yes","Yes",NA,3
"103","LJ5670","Yes","Yes","Yes",NA,4
"104","LJ5675","Yes","Yes","Yes",NA,4
"105","LJ5676","Yes","Yes","Yes",NA,4
"106","LW7390","Yes","Yes","Yes",NA,4
"107","MJ5135","Yes","Yes","Yes",NA,3
"108","MJ5137","Yes","Yes","Yes",NA,3
"109","MJ5139","Yes","Yes","Yes",NA,4
"110","MJ5141","Yes","Yes","Yes",NA,3
"111","MJ5142","Yes","Yes","Yes",NA,3
"112","MJ5174","Yes","Yes","Yes",NA,4
"113","MJ5175","Yes","Yes","Yes",NA,4
"114","MJ5176","Yes","Yes","Yes",NA,4
"115","MJ5182","Yes","Yes","Yes",NA,4
"116","MJ5183","Yes","Yes","Yes",NA,4
"117","MJ5184","Yes","Yes","Yes",NA,4
"118","MJ5831","Yes","Yes","Yes",NA,4
"119","MJ5832","Yes","Yes","Yes",NA,4
"120","MJ5833","Yes","Yes","Yes",NA,4
"121","MJ5834","Yes","Yes","Yes",NA,4
"122","MJ5835","Yes","Yes","Yes",NA,4
"123","MJ5836","Yes","Yes","Yes",NA,4
"124","MJ5837","Yes","Yes","Yes",NA,4
"125","MJ5839","Yes","Yes","Yes",NA,3
"126","MJ5840","Yes","Yes","Yes",NA,3
"127","MJ5841","Yes","Yes","Yes",NA,3
"128","MN4910","Yes","Yes","Yes",NA,3
"129","MN4911","Yes","Yes","Yes",NA,3
"130","MN4924","Yes","Yes","Yes",NA,3
"131","MN4925","Yes","Yes","Yes",NA,3
"132","MN4940","Yes","Yes","Yes",NA,4
"133","MN4941","Yes","Yes","Yes",NA,4
"134","MN4943","Yes","Yes","Yes",NA,4
"135","MN4944","Yes","Yes","Yes",NA,3
"136","MN4945","Yes","Yes","Yes",NA,3
"137","MN4946","Yes","Yes","Yes",NA,3
"138","MN5635","Yes","Yes","Yes",NA,3
"139","MN5636","Yes","Yes","Yes",NA,3
"140","MN5643","Yes","Yes","Yes",NA,3
"141","MN5654","Yes","Yes","Yes",NA,3
"142","MN5665","Yes","Yes","Yes",NA,3
"143","MN5702","Yes","Yes","Yes",NA,4
"144","MN5730","Yes","Yes","Yes",NA,4
"145","MN5731","Yes","Yes","Yes",NA,4
"146","MN5732","Yes","Yes","Yes",NA,4
"147","MN5733","Yes","Yes","Yes",NA,4
"148","MN5738","Yes","Yes","Yes",NA,4
"149","MN5739","Yes","Yes","Yes",NA,4
"150","QQ3348","Yes","Yes","Yes",NA,4
"151","QQ3351","Yes","Yes","Yes",NA,3
"152","RQ9431","Yes","Yes","Yes",NA,4
