"","enro_animal_id","rand_conduct","srg_conduct","successful_surgery","srg_comments_1","srg_comments_2","srg_comments_3","srg_comments_4","srg_comments_5","srg_comments_6","srg_comments_7","srg_comments_8","srg_comments_9"
"1","BM4064","Yes","Yes","No","No","No","No","No","No","No","Yes","No","No"
"2","BW4831","Yes","Yes","No","No","No","No","No","Yes","No","No","No","No"
"3","BW5460","Yes","Yes","No","Yes","No","No","No","Yes","No","No","No","No"
"4","BW5706","Yes","Yes","No","No","No","No","No","Yes","No","No","No","Yes"
"5","HC7883","Yes","Yes","No","No","No","No","No","No","No","Yes","No","No"
"6","HG1361","Yes","Yes","No","No","No","No","No","No","No","Yes","No","No"
"7","LW7395","Yes","Yes","No","No","No","No","No","No","No","Yes","No","No"
"8","MJ5138","Yes","Yes","No","No","No","No","No","No","No","Yes","No","Yes"
"9","MJ5838","Yes","Yes","No","No","No","No","No","Yes","No","No","No","No"
"10","RV9468","Yes","Yes","No","No","No","No","No","No","No","Yes","No","No"
